DNR_ID,site,date,sizeRange,percent
62-0057,401,2015-09-09T00:00:00Z,0_33,0
62-0078,204,2015-09-09T00:00:00Z,0_33,0
62-0067,202,2015-09-08T00:00:00Z,0_33,0
62-0083,204,2015-09-08T00:00:00Z,0_33,0
62-0047,201,2015-09-04T00:00:00Z,0_33,0
62-0225,201,2015-09-04T00:00:00Z,0_33,0
62-0039,201,2015-09-03T00:00:00Z,0_33,0
62-0071,201,2015-09-03T00:00:00Z,0_33,0
82-0167,234,2015-09-01T00:00:00Z,0_33,0
02-0003,204,2015-08-31T00:00:00Z,0_33,0
62-0002,207,2015-08-31T00:00:00Z,0_33,0
62-0001,202,2015-08-28T00:00:00Z,0_33,0
62-0011,201,2015-08-28T00:00:00Z,0_33,0
62-0016,201,2015-08-28T00:00:00Z,0_33,0
62-0006,202,2015-08-27T00:00:00Z,0_33,0
62-0007,203,2015-08-27T00:00:00Z,0_33,0
62-0010,401,2015-08-27T00:00:00Z,0_33,0
62-0012,201,2015-08-27T00:00:00Z,0_33,0
62-0013,201,2015-08-27T00:00:00Z,0_33,0
62-0061,208,2015-08-26T00:00:00Z,0_33,0
62-0073,201,2015-08-26T00:00:00Z,0_33,0
62-0075,202,2015-08-26T00:00:00Z,0_33,0
62-0054,101,2015-08-25T00:00:00Z,0_33,0
62-0056,212,2015-08-25T00:00:00Z,0_33,0
62-0057,401,2015-08-25T00:00:00Z,0_33,0
62-0082,201,2015-08-25T00:00:00Z,0_33,0
62-0048,201,2015-08-24T00:00:00Z,0_33,0
62-0055,201,2015-08-24T00:00:00Z,0_33,0
62-0078,204,2015-08-24T00:00:00Z,0_33,0
62-0231,201,2015-08-24T00:00:00Z,0_33,0
62-0067,202,2015-08-21T00:00:00Z,0_33,0
62-0083,204,2015-08-21T00:00:00Z,0_33,0
62-0039,201,2015-08-20T00:00:00Z,0_33,0
62-0047,201,2015-08-20T00:00:00Z,0_33,0
62-0071,201,2015-08-20T00:00:00Z,0_33,0
62-0225,201,2015-08-20T00:00:00Z,0_33,0
02-0003,204,2015-08-18T00:00:00Z,0_33,0
62-0002,207,2015-08-18T00:00:00Z,0_33,0
82-0167,234,2015-08-17T00:00:00Z,0_33,0
62-0001,202,2015-08-14T00:00:00Z,0_33,0
62-0011,201,2015-08-14T00:00:00Z,0_33,0
62-0016,201,2015-08-14T00:00:00Z,0_33,0
62-0006,202,2015-08-13T00:00:00Z,0_33,0
62-0007,203,2015-08-13T00:00:00Z,0_33,0
62-0010,401,2015-08-13T00:00:00Z,0_33,0
62-0012,201,2015-08-13T00:00:00Z,0_33,0
62-0013,201,2015-08-13T00:00:00Z,0_33,0
62-0061,208,2015-08-12T00:00:00Z,0_33,0
62-0073,201,2015-08-12T00:00:00Z,0_33,0
62-0075,202,2015-08-12T00:00:00Z,0_33,0
62-0054,101,2015-08-11T00:00:00Z,0_33,0
62-0056,212,2015-08-11T00:00:00Z,0_33,0
62-0082,201,2015-08-11T00:00:00Z,0_33,0
62-0231,201,2015-08-11T00:00:00Z,0_33,0
62-0048,201,2015-08-10T00:00:00Z,0_33,0
62-0055,201,2015-08-10T00:00:00Z,0_33,0
62-0057,401,2015-08-10T00:00:00Z,0_33,0
62-0078,204,2015-08-10T00:00:00Z,0_33,0
62-0067,202,2015-08-07T00:00:00Z,0_33,0
62-0083,204,2015-08-07T00:00:00Z,0_33,0
02-0003,204,2015-08-06T00:00:00Z,0_33,0
62-0002,207,2015-08-06T00:00:00Z,0_33,0
62-0071,201,2015-08-05T00:00:00Z,0_33,0
62-0039,201,2015-08-04T00:00:00Z,0_33,0
62-0047,201,2015-08-04T00:00:00Z,0_33,0
62-0225,201,2015-08-04T00:00:00Z,0_33,0
82-0167,234,2015-08-03T00:00:00Z,0_33,0
62-0001,202,2015-07-31T00:00:00Z,0_33,0
62-0011,201,2015-07-31T00:00:00Z,0_33,0
62-0016,201,2015-07-31T00:00:00Z,0_33,0
62-0061,208,2015-07-31T00:00:00Z,0_33,0
62-0006,202,2015-07-30T00:00:00Z,0_33,0
62-0010,401,2015-07-30T00:00:00Z,0_33,0
62-0012,201,2015-07-30T00:00:00Z,0_33,0
62-0013,201,2015-07-30T00:00:00Z,0_33,0
62-0073,201,2015-07-29T00:00:00Z,0_33,0
62-0075,202,2015-07-29T00:00:00Z,0_33,0
62-0054,101,2015-07-27T00:00:00Z,0_33,0
